snippet,headline__main,year_mo_day,compound,negative,neutral,positive
"Mr. Miller represented prominent American painters, sculptors and photographers, including Robert Mapplethorpe.","Robert Miller, Manhattan Art Dealer, Dies at 72",201106,0.3182,0,0.827,0.173
"Ms. Playten played Baby Louise in the original “Gypsy” and was nominated for a Tony for “Henry, Sweet Henry.”","Alice Playten, an Actress of Small Frame, Big Voice, Dies at 63",201106,0.7717,0,0.661,0.339
"Washington announced that it had hired Davey Johnson and beat the Chicago White Sox, 2-1.",Nationals Make Hire Before Win,201106,0,0,1,0
The government threatened to bar from Israel any foreign journalist who boards a flotilla scheduled to depart this week that seeks to challenge an Israeli naval blockade of Gaza.,"Avoid Gaza Flotilla, Israel Warns Foreign Journalists",201106,-0.4019,0.099,0.858,0.043
"Former Yankee greats returned to the Bronx take part in Old-Timers’ Day, part of a tradition that dates back to 1947.",Yankees Legends Attend Their Family Reunion,201106,0,0,1,0
Mr. Radner did his own magic as well as helping to preserve many of the props used by Harry Houdini.,"Sidney Radner, Guardian of Houdini Legacy, Dies at 91",201106,0.5106,0,0.807,0.193
"The masters runners at the Track and Field Championships may run for the love of running and not to gain entry to the world championships, but they still boast four-plus-minute miles.",A Day for Masters to Share the Track With Youthful Elite,201106,0.601,0.053,0.757,0.191
"Ryan Braun, signed with Milwaukee through 2020, is one of the talented home-grown core of players who give the Brewers reason to hope for their first championship.",Braun and Brewers Arrive Together,201106,0.8442,0,0.725,0.275
"News Corporation and an investment company owned by the Agnelli family, of the Ferrari team, want to take over.",Maneuvering to Control Future of Formula One,201106,0.0772,0,0.933,0.067
"The gasoline price survey, by the Lundberg Survey organization, was taken before nations of the I.E.A. said they would release oil from emergency stockpiles.",Average Price for U.S. Gas Falls to $3.63,201106,-0.3818,0.102,0.898,0
"New York City has begun, and sometimes expanded and made permanent, pilot programs on such diverse topics as recruiting and training principals, cooling rooftops, and bicycle sharing.",A Sampling of Experiments From the Bloomberg Laboratory,201106,0.4215,0,0.903,0.097
"If cameras show Dominique Strauss-Kahn relaxed, they may bolster contentions that he did not attack a housekeeper an hour earlier.",Strauss-Kahn’s Demeanor at Lunch May Play Key Role in His Trial,201106,0.696,0,0.747,0.253
Cappie Pondexter scored 22 points to lead the Liberty to a 77-67 victory over the Los Angeles Sparks in Newark.,Pondexter’s 22 Boost Liberty Over Sparks,201106,0.5267,0,0.841,0.159
The Southeastern Conference rivals Florida (53-17) and South Carolina (53-14) will play their biggest series yet when they meet in the best-of-three College World Series finals beginning Monday.,Gators and Gamecocks to Begin C.W.S. Finals,201106,0.34,0,0.918,0.082
"Fredrik Jacobson of Sweden earned his first PGA Tour title on Sunday, shooting a four-under-par 66 to win the Travelers Championship in Cromwell, Conn.",Jacobson Gets First PGA Tour Victory,201106,0.7717,0,0.758,0.242
"River Plate was relegated to the Argentine second division for the first time in its 110-year history, sparking street battles in Buenos Aires between the police and fans.",River Plate’s Relegation Sparks Riots in Argentina,201106,-0.3818,0.088,0.912,0
"Past cycles suggest that big technology stocks, now cheap, may need some time before they climb again. Also, Hulu, the joint-venture TV service, might do better on its own.",Cheap Big Tech Stocks May Stay That Way,201106,0.4404,0,0.906,0.094
"Australian legislation, yet to be passed, would require that cigarettes be sold in plain packaging, carrying health warnings instead of company logos.",Philip Morris Sues Australia Over Cigarette Packaging,201106,-0.296,0.095,0.905,0
"Class size is a priority for the district, but all around California districts are preparing worst-case budget plans.","For San Diego Schools, a Fear That Larger Classes Will Hinder Learning",201106,0,0,1,0
A reader responds to a recent editorial about American Electric Power and its reaction to new air quality rules.,Coal and Electricity,201106,0,0,1,0
"In a dominating race at Infineon, Kurt Busch notched his first win of the season and the first of his career on a road course.",Kurt Busch Leaves Behind Testy Field for First Win of the Year,201106,0.3818,0.081,0.778,0.141
"Corrections appearing in print on June 28, 2011",Corrections,201106,0,0,1,0
"Missile strikes from two American drones killed at least 21 people suspected of being militants in South Waziristan on Monday, Pakistani officials said.",Pakistan: Fatal Attacks by Drones,201106,-0.836,0.308,0.692,0
"The Los Angeles Dodgers filed for bankruptcy in a Delaware court Monday, a move that is expected to give a quick jolt of cash to the troubled team.",Los Angeles Dodgers Bankruptcy Filings,201106,-0.4588,0.111,0.889,0
The argument that violent video games cause children harm and make them more aggressive is not supported by evidence.,"It’s Perverse, but It’s Also Pretend",201106,-0.9145,0.496,0.504,0
"The Federal Aviation Administration never should have approved a project to build a garbage transfer facility, which is likely to attract birds, near La Guardia Airport.","No Trash, No Crash",201106,0.0433,0.087,0.82,0.093
Ms. Tyzack was the winner of a Tony Award for “Lettice and Lovage” and two London Olivier Awards.,"Margaret Tyzack, Award-Winning Actress, Dies at 79",201106,0.8834,0,0.576,0.424
"Under the plan, French banks would give Athens more time to pay back loans as they come due over the next three years.",Rescue Measures for Greece Advance as French Offer to Ease Debt,201106,-0.1689,0.07,0.93,0
New York City’s Rent Guidelines Board set maximum rent increases on rent-stabilized apartments at 3.75 percent for one-year leases and 7.25 percent for two-year leases,"Board Raises Caps on Rent Increases, to the Usual Jeers",201106,0,0,1,0
"The Yankees shortstop, on the disabled list with a calf strain, took batting practice on the field for the first time and started a running program.",Yankees’ Jeter Begins Running and Hitting Drills,201106,-0.0516,0.05,0.95,0
Prosecutors in the murder trial of Brandin Santiago complained that gang members in the spectators’ gallery had tried to intimidate witnesses.,Threats Prompt Motion to Close Trial in Bronx,201106,-0.8481,0.338,0.662,0
"Not one of the party’s candidates has Dominique Strauss-Kahn’s stature, and it is unclear that any will be able to appeal to centrist voters as he did.",French Socialists See Open Race Without Strauss-Kahn,201106,-0.25,0.071,0.929,0
"Several other city agencies are still bracing for cuts totaling more than 1,000 jobs.","Even Without Teacher Layoffs, City Schools Will Still Feel Pain",201106,-0.296,0.145,0.855,0
"Lorenzo Charles, who made the game-winning dunk to give North Carolina State the 1983 national championship, was killed when a bus he was driving crashed in Raleigh, N.C., a tour bus official said.","Lorenzo Charles, Who Sealed N.C. State’s 1983 Title, Dies",201106,-0.3818,0.124,0.797,0.08
President Obama met with Congressional leaders in the hope of helping them reach a deal on a debt limit.,Debt Divide Remains as President Steps In,201106,0.4019,0.115,0.599,0.286
"George Desdunes of Brooklyn was kidnapped and bound by fraternity pledges, who made him drink until he passed out, a suit says.",Cornell Fraternity Sued Over Student’s Drinking Death,201106,0,0,1,0
It appears as if the votes are there in the State Legislature to pass a marriage-equality bill in New Jersey. The obstacle is the Republican governor.,"New Jersey’s Governor, Champion of Inequality",201106,-0.3612,0.094,0.906,0
"Though costly, prostate cancer drugs have helped patients live longer.",Promising Treatments for Prostate Cancer Patients,201106,-0.7003,0.42,0.58,0
"Representative Lynn Woolsey, a liberal Democrat from Northern California, and Representative Jay Inslee, a Seattle-area Democrat have plans to leave Congress.",Two Veteran Democrats Leaving,201106,-0.0516,0.063,0.938,0
Tanzania’s change of plans for a road across Serengeti is too ambiguous. The government should declare its unequivocal commitment to protect the park.,A Gravel Road Too Far,201106,0.6369,0,0.794,0.206
"Officials with the Cherokee Nation reversed unofficial election results, declaring the longtime chief the winner of a bitter and close race.",Oklahoma: Cherokee Chief Re-Elected,201106,0.25,0.114,0.732,0.154
An Iranian colonel was quoted on state television as saying that missiles were “ready to hit the predetermined targets.”,Iran Unveils Missile Silos as It Begins War Games,201106,0,0,1,0
"Justice Ann Walsh Bradley, a liberal, has said that Justice David T. Prosser Jr., a conservative, tried to choke her during an argument in her office on June 13.",Wisconsin: Criminal Inquiry Opens Into Accusations Against Justice,201106,0.2023,0.168,0.642,0.19
"The G-20 summit meeting on soaring food prices failed to do what is needed, including putting an end to government supports for biofuel production.","Lots of Talk, Too Little Action",201106,-0.2023,0.119,0.791,0.09
"The lawyers for Kenneth Moreno and Franklin Mata, acquitted of felony rape but convicted of misdemeanor charges, will reportedly request time to examine material from a recent documentary.",Sentencing Delay Likely in Police Rape Case,201106,-0.7391,0.24,0.713,0.047
"In addition to forbidding federal recognition of same-sex marriage, DOMA says that no state can be forced to acknowledge a same-sex couple’s marriage from another state.","After New York, New Look at Defense of Marriage Act",201106,-0.7964,0.269,0.731,0
"All 32 players left in the men’s and women’s singles draws were in action on Day 7, including six who have a combined 51 major titles.","In Day of Drama, 16 Matches Produce 16 Quarterfinalists",201106,0,0,1,0
"The United States is entering its fourth month in the NATO-led military operations in Libya, and questions persist about whether the president has overstepped his authority.",Timing Is Questioned in Seeking House Vote on U.S. Role in Libya,201106,0.4767,0,0.854,0.146
"The winning numbers from New York, New Jersey and Connecticut.",Lottery Numbers,201106,0.5267,0,0.726,0.274
"The plan, which the Legislature is expected to begin approving on Tuesday, will rely on more optimistic revenue predictions.",California Nears Deal on a Budget,201106,0.3804,0,0.874,0.126
"During his 16 years in hiding, James (Whitey) Bulger traveled to Las Vegas often and returned to Boston in disguise, “armed to the teeth” to “take care of some unfinished business.”",Crime Boss in Hiding Found Time for Travels,201106,0,0.119,0.791,0.09
The third most powerful figure in the Kremlin speaks about politics and the economy.,Q. and A. with Aleksei L. Kudrin,201106,0.4754,0,0.808,0.192
"A breakdown in public services and a shortage of fuel have led to blackouts, rationing and a growing despair.","As Yemen Teeters From Political Unrest, a Humanitarian Crisis May Not Be Far Off",201106,-0.3818,0.226,0.684,0.089
"Laboratory officials said the fire was still miles away from any essential structures on the 25,600-acre property but that sensitive materials had been placed in safe storage.",Los Alamos Laboratory Is on Alert for a Wildfire,201106,0.4854,0.056,0.818,0.126
"These are not happy times at and around Wrigley Field. Ticket sales are weaker now than when the Cubs were seen as lovable losers, and businesses in the surrounding neighborhood are suffering.","The Cubs’ Woes Increase, and Wrigleyville Feels the Pain",201107,-0.8125,0.286,0.622,0.092
"The Republican field in the race to succeed Senator Kay Bailey Hutchison in Texas shrank by two this month, but it remains sizable.","Assessing Senate Race, Reduced Field and All",201107,0.2732,0,0.913,0.087
Athletic fields are on the cusp of becoming a casualty of the drought gripping Texas.,"As Drought Intensifies, Towns and Schools Worry About Maintaining Athletic Fields",201107,-0.5267,0.207,0.793,0
A government decree gives judges the authority to investigate human rights cases that occurred during the military’s rule from 1973 to 1985.,Uruguay Open to Rights Cases of Dictator Era,201107,0.0772,0,0.939,0.061
Hispanic officials from around the country say Gov. Rick Perry must moderate his positions on immigration issues if he wants to win Latino support in a race for the presidency.,Perry and Hispanics Coexist Uneasily in Politics,201107,0.7579,0,0.806,0.194
The market has stabilized in the last three months amid a spring surge in home buying.,Rise in High-End Sales Buoys Manhattan Housing Market,201107,0,0,1,0
The key stages in the Tour de France.,"Late Climbs, and Late Drama",201107,0,0,1,0
"The Department of Defense has identified 1,633 American service members who have died as a part of the Afghan war and related operations.",Names of the Dead,201107,-0.7906,0.268,0.679,0.054
Information on some of the top riders of the Tour.,The Line Forms Behind Contador,201107,0.2023,0,0.833,0.167
Mr. Whalen was a six-term Republican congressman from Ohio who espoused a variety of liberal causes.,"C.W. Whalen Jr., 90, Dies; Led Vietnam War Dissent",201107,0,0,1,0
"A hearing will determine whether Alberto Contador should be barred from competing, and if he will have to give up his 2010 title.",Contador Chases a Title He Might Lose in Court,201107,0,0,1,0
State officials are investigating how a woman apparently died at a Fall River pool on Sunday and went unnoticed until Tuesday night.,Massachusetts: Dead Woman Unnoticed,201107,-0.5574,0.159,0.841,0
"The F.B.I. said that members of an anti-gay church took part in training of police officers and agents, a move the F.B.I. says it will take steps to remedy.",Anti-Gay Church Helped Train Agents,201107,0,0,1,0
"Bishop Daniel Walsh, whose Santa Rosa diocese has been embroiled in priest sexual abuse cases, resigned Thursday after 11 years.",California: Santa Rosa Bishop Resigns,201107,-0.7351,0.256,0.744,0
"Expressing hopefulness, Democrats see hints of Republican flexibility on ways to generate more revenue.",White House Sees Date for Budget Deal or Bust,201107,0.6124,0,0.706,0.294
"Dr. Stephanie J. Hull has led the East Side private school for eight years, the first black woman to do so.",Head of Manhattan’s Brearley School Resigns,201107,0,0,1,0
President Hugo Chávez acknowledged that he was battling cancer in a surprising address on state television in Venezuela.,Chávez Says a Cancerous Tumor Was Removed,201107,-0.6597,0.288,0.619,0.093
"Mitt Romney made a campaign stop outside a shuttered steel plant in Allentown, Pa., blaming its closing on the president’s economic policies.",Romney Blasts Obama as ‘a Failure’ on the Economy,201107,-0.6597,0.231,0.769,0
"The nation’s farmers planted the second-largest corn crop in nearly seven decades, the Agriculture Department reported Thursday.",Corn Prices Fall Sharply After a Larger-Than-Expected Estimate of Crop,201107,0,0,1,0
"Corrections appearing in print, July 1, 2011.",Corrections,201107,0,0,1,0
A two-story brick schoolhouse has become a popular inn in a shrinking town in coal country.,"Sleeping in a Schoolhouse, Alongside Lockers and the Gym",201107,0.4215,0,0.811,0.189
Geovany Soto’s three-run homer capped a four-run rally with two outs that sent the Chicago Cubs to a 5-2 victory over the San Francisco Giants on Thursday at Wrigley Field.,The Cubs Win a Wild One With a 13th-Inning Rally,201107,0,0,1,0
"Riot police officers fired tear gas and stun grenades on Thursday to disperse thousands of demonstrators demanding the ouster of the king of Bahrain, an activist said.",Bahrain: Police Tear-Gas Demonstrators,201107,-0.8442,0.275,0.725,0
"A family of five and their driver were killed by a bomb buried in the road in the district of Marja in southern Helmand Province on Thursday, Afghan officials said.",Afghanistan: Family Killed by Roadside Bomb,201107,-0.8271,0.228,0.772,0
"Anywhere from nine to 37 people are running, but the incumbent is not yet among them.",San Francisco Is Awash With Mayoral Candidates,201107,0,0,1,0
"William and Kate laid a wreath at a war memorial, shook some hands and then moved on to the governor general’s residence.",Canadians Embrace Royal Couple in First Official Foreign Visit,201107,-0.6486,0.227,0.773,0
"Thomas J. Spota said cameras showed the gunman’s fiancée, Melinda Brady, entering Haven Drugs after the shooting and running out.",Prosecutor Describes L.I. Video of 4 Killings,201107,0,0,1,0
"Some of today’s stars intentionally engage in slow play, a strategy that could come to an end with the installation of a mandate to get the ball back in play by a set time.",Some Players Waiting for Tennis Shot Clock,201107,0.7351,0,0.795,0.205
Republicans and Democrats vie to control the narrative of a program that allowed guns to flow to cartels.,House Panel Members Joust Over Border Gun Program,201107,0,0,1,0
How the coming holiday will affect various services.,Independence Day Schedules,201107,0.4019,0,0.722,0.278
"The Borders Group said on Thursday that it had picked the Najafi Companies, a private equity firm that owns the Book-of-the-Month Club, as the lead bidder in a forthcoming court-supervised auction for the bankrupt bookseller.",Lead Bidder Is Chosen for Borders,201107,-0.5574,0.101,0.899,0
"A student at John Jay College of Criminal Justice turned to her professor, a former prosecutor, to reveal details of years of sexual abuse.",Student’s Shocking Revelation to a Professor,201107,-0.6369,0.253,0.633,0.113
"When the speaker of the New York City Council, one of the nation’s most prominent openly gay officials, talks about marriage equality in New York State, it’s personal.",Speaker Quinn on Marriage,201107,0.3804,0,0.912,0.088
The Justice Department and the S.E.C. said five people charged in Florida took part in schemes to manipulate thinly traded stocks.,U.S. Charges 5 in Frauds Involving Penny Stocks,201107,0.3818,0.074,0.785,0.14
The struggling economy and the absence of a clear front-runner might be taking a toll on campaign contributions.,Fund-Raising Begins Slowly for G.O.P. Candidates,201107,-0.0516,0.144,0.722,0.134
"The former N.B.A. player Jose Ortiz was arrested in Puerto Rico after federal agents seized 218 marijuana plants at his house, the United States attorney’s office said.",Ex-N.B.A. Player Facing Charges,201107,-0.0772,0.1,0.809,0.091
"Despite an agreement signed only days ago to bring peace to central Sudan, the country seems to be sliding inexorably toward war.",Another Area Girds for Revolt as Sudan Approaches a Split,201107,0.4215,0.132,0.642,0.226
Big Coal must learn its lesson. A yearlong federal inquiry found a chain of safety neglect. Congress should pass urgently needed legislation to prevent further disasters.,Lies and Truth About Upper Big Branch,201107,-0.5719,0.216,0.656,0.128
"Glenn Beck spent his final day at the Fox News Channel thanking his viewers and colleagues and promoting his new Internet channel, GBTV, to the best of his contractual ability.",Beck Uses Last Show on Fox to Allude to His New Venture,201107,0.8402,0,0.75,0.25
"We are all impatient to see an end to the fighting in Libya, but this is no time for NATO to back down.",The Libya Campaign,201107,-0.631,0.235,0.765,0
The policy would apply retroactively a new law that brings penalties for crack cocaine offenses more closely in line with those for powder cocaine.,Thousands of Prison Terms in Crack Cases Could Be Eased,201107,-0.3612,0.102,0.898,0
"Asafa Powell ran the fastest 100 meters in the world this year on Thursday, winning in 9.78 seconds at the Athletissima track meet in Lausanne, Switzerland.",Powell Triumphs in 100,201107,0.5267,0,0.88,0.12
"Gov. Chris Christie vetoed more than $1.3 billion in spending, much of it for schools, as well as a tax increase on high earners.",New Jersey Governor Vetoes Spending,201107,0.5267,0,0.827,0.173
"Critics argue Google is using its dominance in one area to muscle unfairly into others, as Microsoft did.",The Google Inquiry Evokes Microsoft Memories,201107,-0.4215,0.215,0.701,0.084
"In the second round of the Temple Cup at the Henley Regatta on the Thames in England, California beat the Netherlands’ University of Groningen.",Cal Wins at Henley Regatta,201107,0,0,1,0
The driver of an S.U.V. was arrested for driving with a suspended license.,"Two Women Struck by Car, One Fatally, in Manhattan",201107,-0.7351,0.383,0.617,0
"The legislature and state employee unions face a tough choice between a wage freeze and benefit cuts, or losing 7,500 jobs.",Connecticut Steps Closer to Widespread Layoffs,201107,-0.2732,0.257,0.571,0.171
"Lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201107,0,0,1,0
"Prosecutors have strongly supported the woman who said Dominique Strauss-Kahn attacked her, but his defense team has questioned her credibility.",Differing Takes on Accuser’s Credibility,201107,0.09,0.153,0.637,0.21
"Adam Scott made a couple of long birdie putts and hit a 5-iron within 2 feet for a birdie on the 14th hole on his way to a four-under-par 66 on Thursday to share the lead with Hunter Haas in the AT&T National in Newtown Square, Pa.",Scott and Haas Share AT&T Lead,201107,0.296,0,0.949,0.051
"Cappie Pondexter scored 19 points, Plenette Pierson had 10 of her 14 down the stretch and the Liberty beat the San Antonio Silver Stars, 81-75.",Liberty Beat San Antonio,201107,0.5267,0,0.876,0.124
The Flyers’ surprise signing of Jaromir Jagr kicked off a hectic first day of the N.H.L.’s free agency period.,"After Talking With Pittsburgh, Jagr Joins a Rival",201107,0.6597,0,0.748,0.252
"A few hours after the publication of a frank account of an evening with a quick-talking celebrity, who is sitting seats away at the opening night of “Measure for Measure” but that very star?","Alec Baldwin, the Sequel",201107,0,0,1,0
"The Yankees struck early against the Mets, who left 11 runners on base, in a crosstown matchup of surging teams.",Something Had to Give and Mets Falter First,201107,-0.25,0.1,0.9,0
"Derek Jeter begins a rehab assignment in Trenton, where Yankees General Manager Brian Cashman will be keeping a close eye.",A Driving Spirit Is Conspicuous by His Absence,201107,0,0,1,0
The quick resignation of Stephanie J. Hull from Manhattan’s Brearley School stands in contrast to the elaborate farewell that accompanied her predecessor’s departure.,Quick Exit of Private School’s Leader Puzzles Parents,201107,-0.296,0.091,0.909,0
"Corrections appearing in print, July 2, 2011.",Corrections,201107,0,0,1,0
A “psychedelic punk-rap” band living in Bed-Stuy for two weeks is stripped of more than their instruments in an incident that oddly leaves their dignity intact.,"Place Seemed Great, Till the Robbers Swarmed In",201107,0.5423,0,0.836,0.164
Mr. Costello overcame a troubled youth and became a boxing star despite not putting on gloves until he was 19.,"Billy Costello, Who Won Light Welterweight Crown, Dies at 55",201107,-0.4588,0.15,0.85,0
"The 29-year-old reliever, put on the disabled list a month ago with what was said to be right shoulder fatigue, has been advised not to pitch until his medication is regulated.",Mets’ Buchholz Is Dealing With Depression and Anxiety,201107,0.128,0.062,0.862,0.077
"Lawyers for Anthony Galea, a doctor who has treated athletes like Tiger Woods and Alex Rodriguez, are said to have reached a plea agreement with prosecutors.",Hearing Set for Galea; Plea Deal Is Possible,201107,0.7269,0,0.747,0.253
"The city’s efforts to stop using endangered tropical hardwoods as it replaces the Coney Island Boardwalk’s planks raise aesthetic, pragmatic and linguistic issues.",A Fight Over Keeping Boards in the Boardwalk,201107,-0.296,0.091,0.909,0
"The House Ethics Committee confirmed Friday that it is investigating two lawmakers, Representatives Gregory W. Meeks, Democrat of New York, and Jean Schmidt, Republican of Ohio.",House Ethics Panel Confirms Two Investigations,201107,0,0,1,0
A court has sentenced 558 people to prison terms ranging from six months to 25 years for attacks on Christians that displaced thousands and led to the burning of 69 churches.,Ethiopia: Hundreds Are Sentenced for Mob Attacks on Christians,201107,-0.743,0.213,0.787,0
Gov. Rick Scott on Friday lifted his freeze on the start of construction for a commuter rail system in central Florida.,Florida: Rail Project Will Move Forward,201107,0.0516,0,0.941,0.059
A federal judge issued a preliminary injunction on Friday preventing new regulations from taking effect that would have forced the closing of two of the state’s three abortion clinics.,Kansas: Judge Blocks Abortion Rules,201107,-0.4767,0.141,0.859,0
President Susilo Bambang Yudhoyono has appointed his brother-in-law as army chief.,Indonesia: President Appoints Brother-in-Law to Lead Army,201107,0,0,1,0
"One day after saying he was tired of gripes about Philadelphia’s struggling bats, Ryan Howard capped an offensive outburst with a big hit in a comeback win against the Blue Jays.",Howard Completes Phillies’ Late Rally,201107,-0.5994,0.232,0.667,0.101
Church of England bishops said Friday that they had temporarily barred priests in civil partnerships from being appointed as bishops.,Britain: Church Bars Gay Priests With Partners From Being Bishops,201107,0,0,1,0
A look at state shutdowns over the last decade.,When States Shut Down for Business,201107,0,0,1,0
"The chaos of life on the farm, with its overlapping settlements and empires, creates an almost perfect day.",One Fine Day,201107,0.204,0.153,0.62,0.227
"Poland took over the rotating presidency of the European Union, and disapproved of the wave of national interests competing with regional pursuits.","As Nationalism Surges in Europe, Poland Begins Bloc Presidency",201107,0.25,0,0.913,0.087
A match featuring two of the most powerful players — Maria Sharapova and Petra Kvitova — is sure to result in both players dictating play during the Wimbledon final on Saturday.,"To Determine Queen, Power Will Be King",201107,0.7778,0,0.776,0.224
"In Washington, Metrorail commuters will have to wait longer for repairs to the aging escalators.","For Washington, a Trek to Daylight",201107,0,0,1,0
"The military is now leaner and more oriented toward challenges of the 21st century, but change has only started.",The Pentagon After Mr. Gates,201107,0.0726,0,0.934,0.066
"Redistricting, campaign finance reform and curbing state pensions are still on the agenda in New York.",What Gov. Cuomo Left Undone,201107,0,0,1,0
"President Obama should mandate, in an executive order, that all federal contractors obey the wage and hour laws already on the books.",Pay Workers Fairly and Save Money,201107,0,0,1,0
"The state prosecutor has issued international arrest warrants for four close allies of former President Laurent Gbagbo, including the notorious youth leader Charles Blé Goudé.",Ivory Coast: Gbagbo Allies Charged,201107,-0.6486,0.187,0.813,0
"The Department of Defense has identified 1,634 American service members who have died as a part of the Afghan war and related operations.",Names of the Dead,201107,-0.7906,0.268,0.679,0.054
"The Fourth of July fireworks show is a New York tradition, but where to locate it has been the subject of much wrangling over the years.","Spurned by Lady Liberty, Macy’s Fireworks Show Stays Put",201107,0,0,1,0
"A friend of Ernest Hemingway recalls the last year of his life, when he suffered from depression and paranoia.","Hemingway, Hounded by the Feds",201107,-0.6908,0.341,0.536,0.123
"FIFA said it had spoken with Eucharia Uche, the coach of the Nigerian women’s national team, about remarks she made regarding lesbian players on her team.",FIFA Addresses a Coach’s Remarks,201107,0,0,1,0
Lawmakers cleared the way on Friday for tougher border controls despite opposition from neighboring Germany.,Denmark Will Tighten Border,201107,0.2732,0,0.807,0.193
There is a lot of symmetry in the sensibilities of Robert M. Gates and his successor Leon E. Panetta.,Change (but Not Too Much) at the Top of the Pentagon,201107,0.2263,0,0.899,0.101
"Rafael Nadal, Novak Djokovic, Roger Federer and Andy Murray — the top men’s players — are taking turns raising the tennis bar.","Murray Lifts Game, but Not Enough",201107,0.2023,0,0.921,0.079
Transcripts of grueling depositions by Tony Hayward suggest a line of attack in the lawsuits against the company in last year’s Gulf of Mexico oil spill.,BP’s Ex-Chief and Plaintiffs’ Lawyers Spar Over Safety,201107,-0.5719,0.17,0.83,0
"Gov. Christie has lost little momentum in his second year, enjoying major victories in his efforts to reduce what government spends, largely through sheer aggressiveness.","His Aggressiveness Unabated, Christie Keeps His Momentum",201107,-0.1779,0.167,0.721,0.111
"In neighborhoods where West Africans gather, people were discussing the turn in the Dominique Strauss-Kahn case.",Accuser’s Fellow Guineans Express Bewilderment,201107,0,0,1,0
"A newly elected Republican governor, in a state where Republican state lawmakers also dominate, has pursued his legislative agenda with remarkable success, at least so far.","In Ohio, a New Governor Is Off to a Smooth Start",201107,0.7783,0.05,0.705,0.245
"As the N.B.A.’s lockout commenced, the league stripped all images of its 400-plus players from its Web sites.","Players Are Locked Out From N.B.A.’s Web Site, Too",201107,0,0,1,0
"In a defiant speech to supporters, Col. Muammar el-Qaddafi also seemed to leave open a door to negotiations.",Qaddafi Threatens Europe With Attacks,201107,0.2023,0.163,0.684,0.153
A Bayer AG unit will pay $750 million to farmers who said a strain of the company’s genetically modified rice tainted crops in 2006.,Bayer Settles With Farmers Over Modified Rice Seeds,201107,-0.1531,0.115,0.885,0
Anyone who thinks slavery ended with the 13th Amendment is not paying attention.,Slavery in the Modern Age,201107,-0.7003,0.286,0.714,0
"Maria Shriver filed for divorce, citing irreconcilable differences and asked for joint custody of her two sons.",Shriver Files for Divorce From Schwarzenegger,201107,0,0,1,0
Mr. Poff surprised official Washington by withdrawing from consideration for a Supreme Court appointment by President Richard M. Nixon.,"Richard H. Poff, Who Withdrew Court Bid, Dies at 87",201107,0.6705,0,0.744,0.256
"President Omar Hassan al-Bashir said the army would continue its campaign in Southern Kordofan State, the state news agency SUNA said Friday, dashing hope of a cease-fire.",Sudan: President Vows to Fight,201107,0.4404,0,0.896,0.104
"The investor Carl C. Icahn report of a 9.5 percent stake in the Oshkosh Corporation, as well as his comments about seeking talks with the company to enhance shareholder value, set off a 14 percent gain in the company’s share price on Friday.",Interest from Icahn Propels a Gain in Oshkosh Shares,201107,0.8442,0,0.786,0.214
An appeals court cautioned that it would reconsider if the Nuclear Regulatory Commission refused to act.,Court Won’t Intervene in Fate of Nuclear Dump,201107,-0.296,0.128,0.872,0
A Congressman responds to a recent editorial about gun laws.,Banning Gun Imports,201107,-0.34,0.255,0.745,0
"Military chaplains like David Bowlus often suffer the same emotional aftershocks as soldiers, even though they are noncombatants.","Ministering to Soldiers, and Facing Their Struggles",201107,-0.1027,0.155,0.664,0.181
"Noam Chomsky, whom President Hugo Chávez of Venezuela often cites as a source of inspiration, issued a call for clemency for a judge held under house arrest.",Noted Leftist Urges Chávez to Release Ailing Judge,201107,0.25,0.086,0.791,0.122
Brazil’s preparations for the world championships in late July in Shanghai were disrupted after the Olympic champion Cesar Cielo tested positive for furosemide.,Positive Drug Test for Brazilian Champion,201107,0.8934,0,0.651,0.349
"Germany, the world champion, defeated the United States national squad in the semifinals of the Grand Challenge Cup for international eights at the Henley Royal Regatta in England.",Germany Beats U.S. at Grand Challenge Cup,201107,0.7845,0.084,0.62,0.296
"Wladimir Klitschko won a lopsided unanimous decision over David Haye in Hamburg, Germany, on Saturday, adding the World Boxing Association title to his heavyweight haul.",Klitschko Wins Unanimous Decision,201107,0.5719,0,0.861,0.139
"Colombia defeated 10-man Costa Rica, 1-0, in the second match of the Copa América in Jujuy, Argentina.",Colombia Defeats Costa Rica,201107,-0.4767,0.162,0.838,0
"Left wing Simon Gagne has agreed to terms on a two-year, $7 million deal with the Los Angeles Kings.",Gagne Agrees to Deal to Join Kings,201107,0.2732,0,0.89,0.11
Jaromir Jagr says he spurned more lucrative offers to make his N.H.L. comeback with the Philadelphia Flyers.,Jagr Talks of Decision to Return,201107,0,0,1,0
"Lorenzo Charles, the hero of North Carolina State’s title-winning upset of Houston in 1983, was remembered for more than his last-second dunk at his funeral held five days after he was killed in a single-vehicle bus wreck.",Charles Is Remembered,201107,-0.836,0.265,0.658,0.076
"Sachin Tendulkar, the world’s leading scorer in both test matches (14,692) and one-day matches (18,111), is expected to rejoin the Indian team in time to play against England at Lords in a series of matches that begins July 21.",A Return for India’s Top Player,201107,0.34,0,0.939,0.061
