snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
The pressure has limited the broadcasts of Voice of America and Radio Free Europe/Radio Liberty almost entirely to Moscow and St. Petersburg.,Russia Suppresses U.S.-Financed Radio Broadcasts,20060707,0.5574,0.5574,0.142,0.625,0.233
The raids were a rare crackdown by Shiite-led troops against forces linked to Moktada al-Sadr.,Iraqi and U.S. Troops Strike at Cleric's Militia,20060707,0,0,0,1,0
"Robbie McEwen won the dash to the line, solidifying his hold on the green jersey.",McEwan Wins Another Stage as Tour Starts to Get Serious,20060707,0.5719,0.5719,0,0.791,0.209
"Palestinians mourned those killed in yesterday's fighting with Israeli troops, even as new clashes killed five today.","In Gaza Today, Funerals and More Killings",20060707,-0.93,-0.93,0.515,0.485,0
"The company was authorized to begin ""exploratory talks"" with Renault and Nissan on a possible three-way alliance.",G.M. Bows to Request by Biggest Shareholder,20060707,0,0,0,1,0
"A compromise should end the government shutdown that idled nearly 100,000 workers and cost the state millions of dollars.",Budget Legislation Set for Today in Trenton,20060707,0,0,0,1,0
The president said there would have been a reasonable chance of picking off a North Korean missile that was tested this week.,Bush Says Korean Missile Shows Need for Shield,20060707,0.25,0.25,0,0.905,0.095
Haji Abdul Khaliq said that the shooting occurred on Wednesday and that American and Australian troops were responsible for it.,"Afghan Legislator Says Coalition Attacked His Family, Killing 1",20060707,0.3182,0.3182,0,0.892,0.108
"Candice Dupree had 20 points and 6 rebounds to help the host Chicago Sky beat the Liberty, 78-73, last night. The Sky went on a 12-4 run to open the fourth quarter, taking a 66-56 lead with 4 minutes 58 seconds remaining, then made 10 of 12 free t...",Liberty Loses in Chicago,20060708,0.61875,0.8555,0,0.817,0.183
"About 40 people were treated for vomiting and diarrhea as the Special Olympics national games ended yesterday, and health officials warned authorities in other states that the illness could spread as people return home.",Illness Hits National Games,20060708,-0.2732,-0.2732,0.125,0.805,0.07
"EVANSTON, Ill. July 7 (AP) — Pat Fitzgerald was in the middle of a stunning transformation at Northwestern during the mid-1990s. An All-American linebacker, he helped a longtime losing program win two Big Ten Conference titles and earn trips to th...",Fitzgerald to Coach Northwestern,20060708,0.085433,0.25,0.118,0.742,0.14
"New York City Hall was evacuated last night after an electrical panel overheated and filled the building's basement with smoke, the Fire Department said.",Smoke at City Hall Forces Evacuation,20060708,-0.34,-0.34,0.094,0.906,0
"For years the Parachute Jump rotted, a skeletal symbol of Coney Island's long decline. An eager crowd jammed the boardwalk as the city turned the lights back on.",Flower of a Tower Is Relighted in Coney Island,20060708,0.3612,0.3612,0,0.912,0.088
"José Reyes, one of the six Mets originally selected for the All-Star team, cut the pinkie finger of his left hand, the team announced, while diving into first base in the sixth inning of a loss to the Florida Marlins.","Lima and Reyes Leave Loss Early, but Only One Will Return",20060708,0.0258,0.0258,0.1,0.797,0.103
"Jaret Wright shut the Devil Rays out for six innings before turning the game over to the bullpen. Three relievers pitched a hitless inning apiece, securing Wright's victory.","For Now, Wright Answers Concerns",20060708,-0.2732,-0.2732,0.135,0.734,0.131
"Lower Manhattan residents are almost evenly divided on whether the state should move ahead with its redevelopment plans for the World Trade Center site or give the next governor a chance to amend them, according to a new Pace University poll.",Pessimism Is Growing on Rebuilding of 9/11 Site,20060708,-0.0516,-0.0516,0.053,0.898,0.049
"The Fifth Avenue windows of Bergdorf Goodman and Saks are a new kind of art gallery, with constantly changing installations.",Show and Tell,20060709,0,0,0,1,0
"The piazzas of Italy's major cities were transformed into surrogate soccer stadiums, as millions of Italians gathered to watch the World Cup final on huge screens.","Thrills in Rome and Paris, but Italians Get Final Cheer",20060709,0.3182,0.3182,0,0.916,0.084
"Italy won its fourth World Cup title today, defeating France, 5-3, in a penalty-kick shootout after overtime ended with the score tied at 1-1.",Italy Defeats France in Penalty-Kick Shootout,20060709,0.2732,0.2732,0.095,0.769,0.136
Floyd Landis has a degenerative condition in his right hip and is planning to have hip replacement surgery.,No. 2 in Tour Confirms He Needs Hip Surgery,20060709,0,0,0,1,0
Roger Federer defeated Rafael Nadal at the club that has become the Swiss champion's personal stomping ground.,Federer Wins His 4th Title at Wimbledon,20060709,-0.4767,-0.4767,0.162,0.838,0
"Pope Benedict XVI defined the traditional family as ""founded on indissoluble marriage between a man and a woman.""",A Million in Spain Hear Pope Praise Traditional Family,20060709,0,0,0,1,0
Prime Minister Ehud Olmert told his cabinet today that Israel will continue its military offensive in the Gaza Strip at its own pace.,Israel Vows to Press Gaza Attack Until Soldier Is Freed,20060709,-0.4588,-0.4588,0.12,0.88,0
"In Baghdad, gunmen went on a rampage in a Sunni area and two bombs went off near a Shiite mosque. Also, five more U.S. soldiers were accused in connection with a rape and murder case.",Shiite-Sunni Violence Kills Dozens in Iraq,20060709,-0.9118,-0.9118,0.293,0.707,0
About 200 people were on board a Russian passenger airliner flying from Moscow to Siberia that crashed and burned as it landed at an airport today.,Plane Crash Kills at Least 122 in Russia,20060709,0,0,0,1,0
"Richard Li, the 39-year-old tycoon who heads PCCW, the city’s leading telecommunications company, agreed today to sell most of his stake to a local investor.","Hong Kong Investor to Buy PCCW, Ending Foreign Takeover Bid",20060710,0.2732,0.2732,0,0.916,0.084
"Taliban militants are offering protection to Afghan drug traffickers in return for funds, the defense secretary said today.",Rumsfeld Says Drug Trade Aids Afghan Insurgency,20060710,0.128,0.128,0,0.919,0.081
The accused represent almost all of Serbia’s top political and military leadership during the 1999 war in Kosovo.,6 Milosevic Aides Go on Trial in The Hague,20060710,-0.6486,-0.6486,0.266,0.655,0.079
"Beyond its management crisis, Airbus's parent company faces poor sales figures, delivery delays and a lawsuit.",Troubled Airbus Confronts a New Set of Problems,20060710,-0.8442,-0.8442,0.431,0.569,0
"However, there were hints that behind-the-scenes package deals could be in the making that may involve the release of Palestinian prisoners at a later stage.",Leaders of Israel and Hamas Sound Far From Deal,20060710,-0.5106,-0.5106,0.125,0.875,0
"Three emergency landings followed a day after a Russian passenger jet crashed in Siberia, killing at least 124.","After Deadly Crash in Russia, a Spate of Incidents",20060710,-0.7906,-0.7906,0.333,0.667,0
Economists said that the huge imbalance raises the prospect of more tensions with the U.S. and Europe.,China's Monthly Trade Surplus Hits New Record,20060710,0.1298,0.1298,0.139,0.651,0.209
"Centro said it agreed to pay $1.8 billion for Heritage, which is based in Boston and owns 157 shopping centers in 27 states.",Australian Real Estate Firm Makes Biggest Acquisition Yet,20060710,0.1779,0.1779,0.057,0.857,0.086
Two astronauts made repairs to the space station today.,Astronauts Complete Second Spacewalk,20060710,0,0,0,1,0
"The country should consider whether its Constitution would allow pre-emptive military strikes, an official said.",Japan Steps Up Pressure on North Korea,20060710,-0.1531,-0.1531,0.144,0.747,0.109
Astronauts aboard the space shuttle Discovery are preparing for their third and final spacewalk.,Astronauts Talk With Bush Ahead of Spacewalk,20060711,0.0258,0.0258,0,0.922,0.078
The crackdown would ban not just sports betting but online wagering for poker and other games.,House Approves Crackdown on Online Gambling,20060711,-0.3182,-0.3182,0.133,0.867,0
"Because of the coordinated bombings of commuter trains in Mumbai, India, the New York Police Department increased security today.",New York Increases Security on Transit System,20060711,0.5423,0.5423,0,0.791,0.209
"A former councilman, Jeffrey Romano, was sentenced to five years probation, 150 hours of community service and $1,205 in fines.","Ex-Official in Tenafly Used Heroin After Arrest, Judge Says",20060711,-0.0258,-0.0258,0.058,0.942,0
The secretary of defense promised Afghan officials today that the Bush administration would not lose interest in stabilizing Afghanistan.,Rumsfeld Reassures Afghans in Visit,20060711,0.4172,0.4172,0.104,0.632,0.264
"The owner remained hospitalized today, as officials tried to determine whether he was connected to the tampering.",Signs of Tampering Seen in Town House’s Gas Line,20060711,0,0,0,1,0
"On a range of critical issues, the bill was far weaker than the former rebels had agreed to last year, a spokesman said.",Aceh Says Indonesia Law Falls Short on Autonomy,20060711,-0.5994,-0.5994,0.268,0.651,0.08
The Israeli government today gave the armed forces the authority to broaden operations in the territory.,Israel Plans to Broaden Operation in Gaza,20060711,0.0772,0.0772,0,0.92,0.08
"Attacks included a double suicide attack near the fortified Green Zone, beheadings, shootings, car bombs, mortar attacks and a bus ambush.",50 Killed in Baghdad as Iraqi Violence Worsens,20060711,-0.9246,-0.9246,0.472,0.528,0
The request came more than three months after elections in March resulted in a splintered Parliament.,"With Ukraine Again in Turmoil, Calls for a New Election",20060711,0,0,0,1,0
"Pole beans, which are also called stick beans or runner beans depending on where you’re from, are any sort of bean that climbs easily around a trellis or other support. When they are young, they are perfect cooked in a lightly oiled sauté pan with...",Grandma Burned the Beans: A Lucky Break,20060712,0.5984,0.8316,0,0.82,0.18
"Following the death of a woman whose car was crushed, officials said that problems seemed more widespread.",Big Dig Tunnel to Remain Closed Pending Review,20060712,-0.8555,-0.8555,0.42,0.58,0
City officials tried today to convince local residents that the crime surge did not mean the city was returning to the crime-infested days of the early 1990’s.,Washington Unnerved by Surge in Violent Crime,20060712,-0.3612,-0.3612,0.115,0.82,0.066
Service on the Upper Harlem line was reduced this afternoon after storms toppled seven large trees on the tracks between Valhalla and Hawthorne.,Metro-North Hindered by Storms,20060712,0,0,0,1,0
"An ambulette carrying mentally ill adults slammed into a tree this afternoon and burst into flames, the authorities said.",Five Killed in Accident on Cross Bay Parkway,20060712,-0.4215,-0.4215,0.141,0.859,0
"In a shift, the two nations agreed to push for a U.N. Security Council resolution ordering Iran to freeze its nuclear activities or face sanctions.",Russia and China Support Sanctions Threat for Iran,20060712,0.5719,0.5719,0,0.778,0.222
"There will be zero impact on the economy in tangible, quantitative terms, the managing director of an Indian conglomerate said.",Attacks Unlikely to Weigh Down India Economy,20060712,0,0,0,1,0
Cyril Dessel of France and Juan Miguel Mercado of Spain dueled for the stage victory after riding for 56 miles at the front.,Two Tour Riders in Friendly Duel on Pyrenees Peaks,20060712,0,0,0,1,0
The development offers hope that people with impaired movements might be able to better control their world.,Man Uses Chip to Control Robot With Thoughts,20060712,0.7003,0.7003,0,0.721,0.279
"The French star, banished at the end of the World Cup final, apologized for his red card but blamed provocation.",Zidane Offers Explanation for Head-Butting,20060712,-0.5423,-0.5423,0.174,0.756,0.069
"In 2004, many Auburn athletes received high grades from one professor for courses that required little work.","For Some Athletes, Courses With No Classes",20060713,0,0,0,1,0
The 390-to-33 vote came after an emotional debate over how much the South had changed in four decades.,House Votes to Renew Voting Rights Act,20060713,0.1531,0.1531,0,0.914,0.086
"For Israelis who have endured the rocket fire in the north since the 1970’s, it was not supposed to turn out this way.",Israeli Border Towns Cope With Hezbollah Attacks,20060713,-0.34,-0.34,0.098,0.902,0
"Red Buttons, a comic who rose to television stardom and went on to win an Oscar in 1958 for his dramatic performance in “Sayonara,” died today.",Comedian Red Buttons Dies at 87,20060713,0.0516,0.0516,0.118,0.757,0.125
Floyd Landis went a long way today in maintaining the United States’ grip on cycling’s most prestigious event.,American Takes Lead at Tour de France,20060713,0.4215,0.4215,0,0.851,0.149
"In a rare move, a European Union court issued blunt criticism of the regulators who endorsed the merger of Sony and BMG.",Sony BMG Merger Voided by European Appeals Court,20060713,-0.2263,-0.2263,0.127,0.786,0.087
"The anxiety in global commodities markets swept through equity markets today, with stocks posting broad declines.",Stocks Drop as Oil Prices Reach Record High,20060713,-0.1779,-0.1779,0.102,0.898,0
The government of Prime Minister Nuri Kamal al-Maliki is scrambling to respond to this week’s surge in violence.,Violence Ebbs in Iraq After 4-Day Rampage,20060713,-0.6249,-0.6249,0.194,0.806,0
A deal was reached on a bill that would subject the eavesdropping program run by the N.S.A. to a one-time judicial review.,White House Agrees to Review of Surveillance Program,20060713,0.1027,0.1027,0,0.928,0.072
The Massachusetts governor filed emergency legislation to take control of the investigation of the tunnel accident.,Gov. Romney Seeks Control of Big Dig Inquiry,20060713,-0.6908,-0.6908,0.289,0.711,0
"As Lebanon faced the third day of Israeli bombardment, the cabinet remained behind closed doors, reportedly brainstorming ideas for a solution.",Lebanon’s Government Appears to Be at a Stand Still,20060714,0.3182,0.3182,0,0.892,0.108
"But he added that if the courts did order a recount and he lost, he would call off demonstrations.",Mexico's Leftist Candidate Says He Would Never Concede Defeat,20060714,-0.3182,-0.3182,0.119,0.881,0
John M. Fabrizi apologized again for having “made a terrible mistake” and promised to self-impose a penalty that he thought befit the transgression.,Bridgeport Mayor Outlines Self-Imposed Penalty for Drug Use,20060714,-0.3182,-0.3182,0.219,0.609,0.172
Yaroslav Popovych sped away from three companions in a long breakaway and emerged an easy winner.,"Zoot Alors! On Bastille Day, Ukrainian Tops the Tour",20060714,0.7717,0.7717,0,0.66,0.34
"In Italy’s worst game-fixing scandal ever, justice came swiftly, as three clubs were demoted from the top league.",3 Italian Soccer Teams Punished for Role in Scandal,20060714,-0.1531,-0.1531,0.255,0.474,0.27
The crews of Discovery and the space station today began busily wrapping up joint operations.,Discovery’s Crew Does Heavy Lifting Before Return,20060714,0,0,0,1,0
The firebrand Shiite cleric Moktada al-Sadr said on today that Iraqis would not “sit by with folded hands” while Israel struck at Lebanon.,Iraqi Militia Leader Lashes Out at U.S. and Israel,20060714,-0.25,-0.25,0.083,0.917,0
"Rockets rained down on northern Israel for a third straight day today, killing a grandmother and her 5-year-old grandson.",2 Killed as Rocket Attacks on Israel Continue,20060714,-0.5423,-0.5423,0.207,0.704,0.089
"A letter addressed to the newspaper and contained a powdery substance, the police said today.",Powder Sent to The Times Not Anthrax,20060714,0,0,0,1,0
"President Viktor A. Yushchenko’s party said it would join a coalition with Viktor F. Yanukovich, who could make a comeback as prime minister.",Ukrainian Archrivals Team Up in Coalition,20060714,0.5994,0.5994,0,0.795,0.205
"Jason Asprey plays the young prince—smoldering, charismatic, and mad as a hornet, not as a hatter.","An Active ‘Hamlet’ at Shakespeare & Company in Lenox, Mass.",20060715,-0.296,-0.296,0.186,0.698,0.116
"José Contreras lost for the first time in 17 decisions, a span stretching two seasons.","Yankees Solve Contreras, Then Hang On",20060715,-0.3182,-0.3182,0.15,0.85,0
"Five of the six sports to be phased out are men’s programs: heavyweight crew, lightweight crew, fencing, swimming and diving, and tennis. Women’s fencing will also be eliminated.","To Cut Costs, Rutgers to Cut 6 Sports",20060715,0.0772,0.0772,0,0.954,0.046
The Democrats Eliot Spitzer and Hillary Rodham Clinton have collected many times more than their Republican opponents running for governor and United States senator.,Spitzer and Clinton Lead G.O.P. Rivals by Millions,20060715,0.4215,0.4215,0,0.891,0.109
"It is generally a good thing to be a starting pitcher for the Yankees, as is now the case for Sidney Ponson. But it is not so good to be with your third team in less than a year with your career and your behavior being evaluated game by game.","Ponson, Under Scrutiny, Stresses Keeping His Focus",20060715,-0.0118,0.7003,0,0.886,0.114
A federal judge had demanded that the state overhaul the way it executes prisoners by lethal injection.,Missouri Says It Can’t Hire Doctor for Executions,20060715,-0.6369,-0.6369,0.271,0.729,0
The study found that fourth graders in public schools did as well or better than children in private schools in math and reading.,Public Schools Perform Near Private Ones in Study,20060715,0.6124,0.6124,0,0.808,0.192
"Far from trying to put the brakes on Washington lobbyists, Representative John A. Boehner has stepped on the gas.",New House Majority Leader Keeps Old Ties to Lobbyists,20060715,0,0,0,1,0
"The Hezbollah stronghold of Tyre, Lebanon, has become a target of Israel's bombing campaign.",Bombings Bring Season of Fear to Seaside Resort,20060717,0.128,0.128,0,0.889,0.111
Floyd Landis doesn't care about winning an Alpine Stage in the Tour de France. He just wants to stay close enough to the leaders to have a chance to win the Tour.,"Landis Has Goal, Not Dream, in Tour de France",20060717,0.1017,0.1017,0.141,0.707,0.152
"New York’s mayor announced today a new, more aggressive approach to hard-core street homelessness.",Bloomberg Unveils Plan to Reduce Homelessness,20060717,-0.2247,-0.2247,0.136,0.864,0
Thomas R. Suozzi today made an effort to revive his moribund campaign for the New York state Democratic gubernatorial nomination.,Suozzi Replaces Manager in Campaign for Governor,20060717,0.34,0.34,0,0.888,0.112
"Cherie Blair, the wife of Prime Minister Tony Blair of Britain, today stepped into the debate over Kremlin pressures on Russian civil society.",Blair’s Wife Offers Aid to Groups Facing Russian Rights Curbs,20060717,-0.3182,-0.3182,0.095,0.905,0
Nicholas Minucci was convicted last month of a hate crime in the beating and robbery of a black man in Howard Beach last year.,Howard Beach Attacker Sentenced to 15 Years,20060717,-0.8807,-0.8807,0.349,0.651,0
"No individual officers will be charged in the killing of a Brazilian electrician last year, but the office of the Metropolitan police commissioner will be charged.",British Police Charged in Death of Man Mistaken for Bomber,20060717,-0.7096,-0.7096,0.273,0.727,0
"Thousands of Israelis today remained holed up in bomb shelters that, while apparently rocket-proof, are hot and uncomfortable.","For Some Israelis, 2nd Home Is a Bomb Shelter",20060717,-0.7003,-0.7003,0.266,0.734,0
Negotiators have been stuck in place for months by a dispute between the U.S. and Europe over farm subsidies.,"At Trade Talks, Leaders Scramble to Make a Deal",20060717,-0.5719,-0.5719,0.227,0.773,0
Senator Clinton said she supported taking “whatever steps are necessary” to defend Israel in the conflict in the Middle East.,Senator Clinton Speaks Up for Israel at U.N. Rally,20060717,0,0,0.102,0.796,0.102
The move could bring in tens of millions of dollars in advertising revenue each year to the newspaper.,Wall Street Journal to Run Ads on Front Page,20060718,0,0,0,1,0
Lance Armstrong said the doping the scandal surrounding this year’s Tour de France would not have happened when he was the de facto leader of professional cycling.,"No Doping When He Dominated, Armstrong Says",20060718,-0.4404,-0.4404,0.1,0.9,0
"The Senate voted to expand federal support of medical research using stem cells, setting up the first veto in President Bush’s five and a half years in office.","Senate Passes Stem Cell Bill, Defying Veto Threat",20060718,0.6124,0.6124,0,0.833,0.167
Viktor F. Yanukovich was poised today to make a spectacular comeback as prime minister.,Ukrainian Ousted by Revolution Set to Lead Again,20060718,0.25,0.25,0,0.857,0.143
"The Chinese economy put on an extra burst of speed in the second quarter, growing at an 11.3 percent annual rate.",China’s Booming Economy Surges,20060718,0.1779,0.1779,0,0.922,0.078
The arrest by the U.S. of the chief of a British bookmaking company on Monday sent shares plummeting today.,Online Gambling Industry Reels After Arrest,20060718,-0.0516,-0.0516,0.117,0.777,0.107
"In an unusually brazen and forceful operation, the Taliban have held onto a town in the district of Garmser for the second day in a row.",Coalition Vows to Regain Afghan Town Seized by Taliban,20060718,0,0,0,1,0
A five-ship U.S. naval group and a British flotilla steamed toward Lebanon Tuesday to help in a hastily organized evacuation.,U.S. and British Navies Join Evacuation Efforts,20060718,0.4019,0.4019,0,0.856,0.144
"Indian bloggers have reacted with anger and confusion, accusing the government of censorship and demanding to know why their sites have been jammed.",India Blocks Blogs in Wake of Mumbai Bombings,20060718,-0.8176,-0.8176,0.333,0.667,0
The attorney general said the president blocked a Justice Department examination of domestic eavesdropping.,Bush Said to Have Blocked Eavesdropping Inquiry,20060718,0.3182,0.3182,0.127,0.667,0.206
"Seventeen years after the overthrow of the Communist leader Nicolae Ceausescu, Romanian playwrights are finally engaging in a very direct way with their surroundings.","From Bucharest to New York, Reality Takes the Stage",20060719,0.34,0.34,0,0.902,0.098
The sensation of sweetness has triumphed over the belief that fine red wines were dry bordering on tart and even somewhat austere.,Too Sweet to Be Invited to Dinner,20060719,0.802,0.802,0,0.699,0.301
Prime Minister Nuri Kamal al-Maliki of Iraq forcefully denounced the Israeli attacks on Lebanon.,"In Break With Bush, Iraqi Leader Assails Israel",20060719,-0.4404,-0.4404,0.182,0.818,0
"One of two reverse thrusters, used to help stop the plane on landing, was disabled on the jet that went off a runway in Siberia on July 9.",Pilots May Have Mishandled Airbus Brakes in Siberia Crash,20060719,0.128,0.128,0.074,0.836,0.09
Prosecutors said today that scores of criminal suspects were tortured by police officers in the 1970’s and 1980’s.,Report on Chicago Police Torture Is Released,20060719,-0.8555,-0.8555,0.385,0.615,0
Two New Jersey contractors were accused of lying to a Bronx grand jury investigating allegations against Bernard B. Kerik.,Contractors in Kerik Case Charged,20060719,-0.3818,-0.3818,0.237,0.636,0.127
"President Bush today rejected legislation passed by Congress that would expand federal research on embryonic stem cells, a step he said would be “crossing a moral line.”","In First Veto, Bush Blocks Stem Cell Bill",20060719,-0.25,-0.25,0.115,0.804,0.08
"One day after saying he was confident that he could win the tour, Floyd Landis fell to 11th place.",American Loses Lead in Tour de France,20060719,0.7906,0.7906,0,0.708,0.292
The United States and European nations have dispatched more than 20 military and commercial ships to aid in the evacuation.,Large-Scale Evacuations From Lebanon Begin,20060719,0.4215,0.4215,0,0.872,0.128
"The plan is for Israel to hit Lebanon for about another week, followed by a visit by Condoleezza Rice to establish a buffer zone, officials said.\n\n<meta name=“keywords” content=“Is",U.S. Appears to Be Waiting to Act on Israeli Airstrikes,20060719,0,0,0,1,0
"The 5,000-word letter is a rambling treatise outlining what Mr. Hussein asserts are the false reasons that the Bush administration used to justify the war in Iraq.","Hussein Writes to Americans, Urging Iraqi Pullout",20060720,-0.5994,-0.5994,0.135,0.865,0
"A diplomatic standoff between Spain, Malta, Libya and the European Union has left a group of migrants stranded for 6 days on the open sea.",Europe Is Tested by Humanitarian Rescue of Migrants,20060720,0,0,0,1,0
"The Russian leader gave awards for officers’ role in the killing of Shamil Basayev, even as questions swirled about his death.",Doubts Raised as Putin Awards Medals in Terrorist Slaying,20060720,-0.743,-0.743,0.283,0.614,0.102
"The mass evacuations are threatening to overwhelm Cyprus, which was already saturated with vacationers during peak tourist season.","Evacuees Jam Into Cyprus, and More Are Coming",20060720,-0.6249,-0.6249,0.242,0.758,0
"Mr. Bonds’s personal trainer, who has refused to testify, was subpoenaed today to appear before a new grand jury.","Bonds Escapes Indictment, but Inquiry Continues",20060720,0.2023,0.2023,0.104,0.755,0.142
Secretary General Kofi Annan called today for an immediate end to hostilities between Israel and Lebanon.,U.N. Chief Calls for Cease-Fire,20060720,-0.4767,-0.4767,0.171,0.829,0
"Zinédine Zidane was suspended for 3 games for head-butting Marco Materazzi, who was suspended for 2.",Suspensions Over Head-Butt Announced,20060720,-0.7351,-0.7351,0.323,0.677,0
"After falling from first to 11th place on Wednesday, the American jumped back into third place.",Landis Moves Back Into Tour Contention,20060720,-0.1531,-0.1531,0.096,0.904,0
"Google said today its second-quarter earnings more than doubled, while Yahoo’s stock lost $10 billion this week.","Its Profit Soaring, Google Overshadows Yahoo",20060720,-0.3182,-0.3182,0.126,0.874,0
"An elaborate identity-theft ring that involved fake Social Security cards, passports and driver’s licenses, the authorities said today.",2 Texas Men Facing ID-Theft Charges,20060720,-0.1779,-0.1779,0.144,0.744,0.112
The stretch of Highway 1 between Los Angeles and San Francisco is possibly the hottest taco crawl outside of Mexico.,Chasing the Perfect Taco Up the California Coast,20060721,0,0,0,1,0
"We wanted to use both elections and force to transform the Middle East. Hamas and Hezbollah, it turns out, had the same idea.",Ballots and Bullets,20060721,0,0,0,1,0
"John Mack has been asked to testify in an insider trading case involving Pequot Capital, the hedge fund.",S.E.C. Asks Morgan Stanley Chief to Testify,20060721,0,0,0,1,0
"The government has called for international assistance to deal with the rush, which is expected to intensify over the weekend.",Thousands Escaping Crisis Overwhelm Cyprus,20060721,0,0,0,1,0
"The 28 people who were reported killed today signaled a sharp, if momentary, decline in the daily death rate.","In Week of Violence in Iraq, a Comparative Lull",20060721,-0.8555,-0.8555,0.344,0.656,0
"The rider in first place after the time trial, which is known as “the race of truth,” is likely to win the Tour de France.",Landis Confident in Final Time Trial of Tour,20060721,0.5859,0.5859,0,0.863,0.137
"The secretary of state said today that the violence in Lebanon must end in a stable and lasting peace, not just a cease-fire.",Rice Outlines Strategy for Middle East Trip\n,20060721,0.1531,0.1531,0.147,0.647,0.205
Yevgeny O. Adamov is wanted in the United States on federal conspiracy and money laundering charges.,Former Russian Minister Wanted by U.S. Leaves Jail,20060721,-0.4019,-0.4019,0.258,0.61,0.131
"Built taller and wider than traditional suburban commuter trains, the new bilevel trains have difficulty passing through one of the two tunnels heading into Pennsylvania Station.",Amtrak Gives New Two-Tier Jersey Trains One Big Headache,20060721,-0.34,-0.34,0.088,0.912,0
"The government threatened legal action, saying such broadcasts glorify these acts, frighten the public and lead to more violence.",Pakistan Asks TV Stations Not to Air Shocking Footage,20060721,-0.6801,-0.6801,0.338,0.483,0.179
"Mayor Michael R. Bloomberg made the announcement today, saying that storms on Friday erased some of the progress made by Consolidated Edison.",Queens Probably Will Not Have Power by Sunday,20060722,0.4215,0.4215,0,0.882,0.118
Israel continued bombing raids today on Lebanon and moved across the border in what was described as a limited operation against a Hezbollah stronghold.,Israeli Soldiers Move Into Lebanese Village,20060722,-0.1027,-0.1027,0.081,0.855,0.064
Rookie John Maine pitched a complete-game shutout filling in for Orlando Hernandez after almost an hour rain delay as the Mets won their seventh game in their last nine.,Mets Ponder Next Move as They Win Again,20060722,0.34,0.34,0.072,0.813,0.116
"Alex Rodriguez accounted for all the Yankees’ scoring with his 2,000th career hit, a three-run homer in the third inning that was the 450th home run of his career.",Rodriguez Milestone Brings Little Relief,20060722,0,0,0,1,0
"The Patrol Guide of the New York City Police Department is fairly detailed about warrants, arrests, seizures and the like. As for blackouts, the case is simple, keep the peace.",Offering Aid and Keeping the Peace,20060722,0.4767,0.4767,0.081,0.752,0.167
Mayor Michael R. Bloomberg attempted a balancing act between angered Queens residents and Con Edison.,Bloomberg Takes New Role: Defender of Con Edison,20060722,-0.5106,-0.5106,0.202,0.798,0
New Jersey Transit and Amtrak have gotten their signals crushed during a test run of one of the double-decker trains that will begin carrying riders this fall.,"In Test, Someone Forgot to Tell Double-Decker Train to Duck",20060722,-0.4215,-0.4215,0.101,0.899,0
"The Bush administration is rushing a delivery of precision-guided bombs to Israel, which some military officers see as a sign of a longer campaign ahead.",U.S. Speeds Up Bomb Delivery for the Israelis,20060722,0,0,0,1,0
"For the young, life was marred by inconveniences. But for the old, the blackout had become a threat to survival.","In Queens Blackout, Different Degrees of Suffering",20060722,-0.5267,-0.5267,0.159,0.841,0
Officials declared a power emergency today after tropical heat drove demand for electricity to record highs.,California Warns of Rolling Blackouts,20060723,-0.4767,-0.4767,0.24,0.76,0
Four of every 10 patients who undergo weight-loss surgery develop complications within six months.,Officials Cite Obesity Surgery Complications,20060723,0,0,0,1,0
"The two-shot victory over Chris DiMarco gave Tiger Woods back-to-back British Open titles, the first time that feat has been accomplished since Tom Watson won the championship in 1983.",Woods Remains Champion at British Open,20060723,0.8591,0.8591,0,0.732,0.268
Floyd Landis kept cycling's most prestigious title in American hands for the eighth straight year.,A Fighting Landis Wins Tour de France,20060723,0.2263,0.2263,0,0.881,0.119
Israeli officials expressed interest in a multinational armed force as the military again pounded south Lebanon from the air and ground and Hezbollah rockets hit Israel’s north.,Israel Signals It May Accept Foreign Forces on Border,20060723,0.4588,0.4588,0,0.893,0.107
Thomas J. Manton was a former New York City councilman and congressman who was chairman of the influential Queens Democratic organization for the past two decades.,Thomas J. Manton Dies; Ex-Congressman Was 73,20060723,0.4404,0.4404,0,0.892,0.108
Mayor Michael R. Bloomberg said he could not estimate when the power would be restored in northwest Queens.,Restoration of Power in Queens Remains in Doubt,20060723,0.34,0.34,0,0.876,0.124
"Also today, at least 57 people were killed in bombings in Baghdad and Kirkuk and other violence.","Hussein, on Hunger Strike, Gets Feeding Tube",20060723,-0.8625,-0.8625,0.364,0.636,0
"Two young men were struck and killed by lightning yesterday while playing soccer on a school field in Montvale, N.J., the authorities said.",Lightning Kills 2 New Jersey Youths,20060723,-0.6908,-0.6908,0.238,0.696,0.066
"Two men were killed yesterday in unrelated shootings in Queens and Brooklyn, the police said.",Shootings Kill 2 in Queens and Brooklyn,20060723,-0.6705,-0.6705,0.243,0.757,0
"After sputtering with five laps to go, Tony Kanaan’s car held up, allowing him to win the ABC Supply/A. J. Foyt 225.",Kanaan Staves Off Bad Luck for Victory,20060724,0.5859,0.5859,0,0.847,0.153
"There has been strong verbal support for such a force in public, but also private concerns that soldiers would be seen as allied to Israel.",Nations Reluctant to Commit Troops to Lebanon,20060724,0.4588,0.4588,0,0.846,0.154
